lemma,pos_estimate,locations,count
incident,名詞,Home(L6); Assign(L65); Analyze(L109); Interview(L195); Calibrate(L311); Distribute(L508); Closing Thoughts(L531); Continued Learning(L549),181
investigation,名詞,Home(L2); Assign(L64); Analyze(L110); Interview(L203); Calibrate(L313); Distribute(L508); Continued Learning(L548),82
meeting,名詞,Home(L55); Analyze(L132); Calibrate(L311); Distribute(L508); Continued Learning(L572),79
review,名詞,Home(L24); Assign(L76); Analyze(L120); Interview(L198); Calibrate(L316); Distribute(L506); Continued Learning(L560),67
event,名詞,Home(L11); Assign(L65); Analyze(L110); Interview(L198); Calibrate(L316); Distribute(L513); Continued Learning(L594),63
interview,名詞,Home(L24); Assign(L96); Analyze(L118); Interview(L192); Calibrate(L311); Continued Learning(L593),60
participant,名詞,Home(L39); Assign(L77); Analyze(L110); Interview(L195); Calibrate(L311); Continued Learning(L594),53
analysis,名詞,Home(L24); Assign(L69); Analyze(L110); Interview(L207); Calibrate(L310); Distribute(L520); Closing Thoughts(L531); Continued Learning(L562),51
document,名詞,Home(L24); Assign(L100); Analyze(L120); Interview(L304); Calibrate(L311); Distribute(L513); Continued Learning(L572),47
process,名詞,Home(L6); Assign(L65); Analyze(L132); Interview(L269); Calibrate(L322); Distribute(L513); Continued Learning(L540),43
data,名詞,Home(L24); Assign(L99); Analyze(L109); Interview(L196); Calibrate(L311); Distribute(L511),41
learn,動詞,Home(L10); Assign(L76); Analyze(L143); Interview(L207); Calibrate(L341); Distribute(L508); Continued Learning(L577),38
investigator,名詞,Home(L29); Assign(L69); Analyze(L112); Interview(L219); Calibrate(L316); Continued Learning(L540),38
question,名詞,Assign(L81); Analyze(L116); Interview(L224); Calibrate(L320); Continued Learning(L577),37
report,名詞,Home(L24); Analyze(L112); Calibrate(L311); Distribute(L508); Continued Learning(L649),35
organization,名詞,Home(L11); Assign(L65); Analyze(L134); Interview(L203); Calibrate(L339); Distribute(L508); Continued Learning(L561),34
action,名詞,Home(L24); Analyze(L134); Interview(L212); Calibrate(L396); Distribute(L506); Continued Learning(L597),30
learning,名詞,Home(L24); Assign(L65); Analyze(L143); Interview(L257); Calibrate(L320); Distribute(L506); Continued Learning(L538),25
information,名詞,Assign(L81); Analyze(L130); Interview(L205); Calibrate(L318); Distribute(L524); Closing Thoughts(L535),25
share,動詞,Home(L55); Assign(L102); Analyze(L161); Interview(L266); Calibrate(L311); Distribute(L506); Continued Learning(L569),23
timeline,名詞,Analyze(L115); Calibrate(L332),23
knowledge,名詞,Home(L53); Assign(L75); Analyze(L110); Interview(L198); Calibrate(L360); Distribute(L508),22
interviewee,名詞,Home(L55); Assign(L77); Analyze(L118); Interview(L205); Calibrate(L311); Continued Learning(L591),22
theme,名詞,Analyze(L116); Interview(L304); Calibrate(L316); Continued Learning(L647),21
insight,名詞,Home(L20); Analyze(L138); Interview(L203); Calibrate(L386); Distribute(L511); Continued Learning(L569),20
system,名詞,Home(L15); Assign(L75); Analyze(L134); Interview(L198); Calibrate(L339); Continued Learning(L556),19
finding,名詞,Home(L24); Assign(L69); Interview(L203); Calibrate(L311); Distribute(L505); Continued Learning(L569),18
calibration,名詞,Home(L24); Analyze(L120); Calibrate(L311); Continued Learning(L572),16
discussion,名詞,Analyze(L121); Interview(L237); Calibrate(L384); Continued Learning(L624),16
follow-up,複合語,Home(L61); Analyze(L140); Interview(L224); Calibrate(L456),15
post-incident,複合語,Home(L2); Assign(L76); Analyze(L126); Calibrate(L448); Distribute(L527); Continued Learning(L572),14
conduct,動詞,Home(L6); Analyze(L112); Interview(L200),14
generate,動詞,Home(L22); Analyze(L191); Calibrate(L364); Continued Learning(L634),14
experience,名詞,Home(L53); Assign(L90); Interview(L250); Calibrate(L332); Distribute(L524),13
perspective,名詞,Assign(L81); Interview(L207); Calibrate(L367); Continued Learning(L644),12
narrative,形容詞,Analyze(L115); Calibrate(L336),12
hypothesis,名詞,Analyze(L134); Interview(L207); Calibrate(L336),12
context,名詞,Home(L22); Analyze(L112); Interview(L207); Calibrate(L391); Continued Learning(L562),11
introduce,動詞,Home(L46); Interview(L237); Continued Learning(L562),11
recommend,動詞,Assign(L83); Analyze(L134); Interview(L232); Calibrate(L404); Continued Learning(L638),11
impact,名詞,Assign(L93); Analyze(L134); Interview(L207); Calibrate(L336); Continued Learning(L577),11
approach,名詞,Analyze(L112); Interview(L234); Calibrate(L461); Closing Thoughts(L531); Continued Learning(L579),11
feedback,名詞,Interview(L269); Calibrate(L316),11
explain,動詞,Home(L17); Interview(L265); Calibrate(L360),10
folk,名詞,Home(L46); Calibrate(L341); Distribute(L508); Continued Learning(L579),10
responder,名詞,Analyze(L147); Interview(L196); Calibrate(L410); Continued Learning(L644),10
view,名詞,Analyze(L164); Interview(L284); Calibrate(L332); Continued Learning(L545),10
invite,動詞,Interview(L237); Calibrate(L353); Continued Learning(L647),10
engineer,名詞,Home(L15); Analyze(L189); Interview(L228); Calibrate(L372); Continued Learning(L608),9
goal,名詞,Home(L15); Analyze(L137); Calibrate(L461); Continued Learning(L562),9
surprise,名詞,Home(L15); Interview(L297); Calibrate(L311); Continued Learning(L621),9
individual,形容詞,Home(L22); Assign(L100); Analyze(L185); Calibrate(L336); Continued Learning(L565),9
meet,動詞,Home(L24); Assign(L85); Analyze(L189); Calibrate(L350); Continued Learning(L642),9
every,冠詞,Home(L28); Assign(L69); Continued Learning(L604),9
believe,動詞,Home(L30); Interview(L198); Calibrate(L466); Closing Thoughts(L531),9
collect,動詞,Assign(L100); Analyze(L119); Interview(L200); Calibrate(L322),9
channel,名詞,Assign(L102); Interview(L244),9
detail,名詞,Analyze(L110); Interview(L198); Calibrate(L347),9
answer,名詞,Analyze(L116); Interview(L250); Calibrate(L384); Continued Learning(L606),9
talk,動詞,Analyze(L187); Interview(L198); Calibrate(L399); Continued Learning(L552),9
engineering,固有名詞,Home(L15); Assign(L105); Interview(L196); Calibrate(L463); Distribute(L508); Continued Learning(L551),8
expertise,名詞,Home(L15); Interview(L211); Calibrate(L360); Continued Learning(L608),8
improvement,名詞,Home(L20); Analyze(L159); Calibrate(L364); Distribute(L527); Continued Learning(L572),8
mean,動詞,Home(L22); Analyze(L160); Interview(L290); Calibrate(L369),8
skill,名詞,Home(L24); Analyze(L138); Interview(L248); Continued Learning(L540),8
assign,動詞,Home(L24); Assign(L62); Calibrate(L459); Continued Learning(L589),8
investigate,動詞,Home(L30); Assign(L83); Analyze(L112); Interview(L200); Calibrate(L446); Continued Learning(L627),8
response,名詞,Assign(L75); Interview(L196); Calibrate(L473),8
source,名詞,Assign(L100); Analyze(L153); Interview(L211); Calibrate(L486); Continued Learning(L592),8
chat,名詞,Assign(L100); Interview(L207); Calibrate(L322); Continued Learning(L599),8
message,名詞,Assign(L102); Analyze(L140); Interview(L196),8
schedule,動詞,Analyze(L114); Interview(L222); Calibrate(L367); Distribute(L508),8
improve,動詞,Analyze(L138); Calibrate(L447); Continued Learning(L562),8
practice,名詞,Analyze(L159); Calibrate(L459); Continued Learning(L571),8
record,動詞,Interview(L250); Calibrate(L404),8
expert,名詞,Home(L6); Analyze(L176); Calibrate(L336); Continued Learning(L646),7
service,名詞,Home(L11); Interview(L228); Calibrate(L322); Continued Learning(L619),7
software,名詞,Home(L15); Analyze(L154); Interview(L196); Calibrate(L339); Continued Learning(L608),7
opportunity,名詞,Home(L15); Analyze(L159); Interview(L237); Calibrate(L351); Distribute(L508); Continued Learning(L647),7
performance,名詞,Home(L17); Analyze(L191); Continued Learning(L546),7
prepare,動詞,Home(L24); Analyze(L112); Interview(L243); Calibrate(L355),7
integrate,動詞,Home(L24); Interview(L219); Calibrate(L358); Distribute(L508),7
represent,動詞,Home(L26); Interview(L210); Calibrate(L332); Distribute(L524),7
encourage,動詞,Home(L37); Interview(L253); Calibrate(L428); Continued Learning(L577),7
others,名詞,Home(L41); Analyze(L154); Calibrate(L327); Distribute(L524),7
future,形容詞,Home(L46); Calibrate(L447); Distribute(L513),7
facilitator,名詞,Assign(L83); Calibrate(L380); Continued Learning(L543),7
relevant,形容詞,Assign(L100); Interview(L205); Calibrate(L483),7
analyze,動詞,Analyze(L107); Interview(L244); Continued Learning(L608),7
consolidate,動詞,Analyze(L120); Interview(L196); Calibrate(L311),7
useful,形容詞,Analyze(L130); Interview(L241); Calibrate(L459),7
tagging,名詞,Analyze(L132),7
reader,名詞,Analyze(L143); Calibrate(L447); Distribute(L527); Continued Learning(L577),7
problem,名詞,Analyze(L151); Interview(L207); Calibrate(L408); Continued Learning(L632),7
decision,名詞,Interview(L200); Distribute(L522); Continued Learning(L585),7
broad,形容詞,Interview(L207); Calibrate(L483),7
ready,形容詞,Interview(L224); Calibrate(L380); Continued Learning(L579),7
scribe,名詞,Interview(L252),7
material,名詞,Interview(L260); Calibrate(L358); Closing Thoughts(L535),7
valuable,形容詞,Calibrate(L483); Continued Learning(L608),7
collaboration,名詞,Home(L2); Analyze(L164); Calibrate(L329); Continued Learning(L572),6
factor,名詞,Home(L15); Analyze(L134); Interview(L205); Calibrate(L466),6
value,名詞,Home(L15); Distribute(L524); Closing Thoughts(L533); Continued Learning(L614),6
error,固有名詞,Home(L20); Continued Learning(L545),6
interest,名詞,Home(L33); Analyze(L132); Interview(L219); Calibrate(L327); Continued Learning(L627),6
prior,副詞,Home(L55); Assign(L91); Calibrate(L389); Continued Learning(L646),6
component,名詞,Assign(L75); Interview(L214); Calibrate(L452); Continued Learning(L587),6
interviewing,名詞,Assign(L76); Interview(L219); Calibrate(L322); Continued Learning(L569),6
technical,形容詞,Assign(L81); Interview(L198); Calibrate(L324),6
handle,動詞,Assign(L90); Analyze(L132); Calibrate(L466); Continued Learning(L583),6
conversation,名詞,Assign(L91); Interview(L196); Calibrate(L412),6
organizational,形容詞,Assign(L100); Interview(L219); Calibrate(L479); Continued Learning(L577),6
track,名詞,Assign(L102); Analyze(L112); Calibrate(L414); Distribute(L527),6
support,動詞,Analyze(L120); Calibrate(L483); Continued Learning(L577),6
suggest,動詞,Analyze(L132); Calibrate(L388); Continued Learning(L634),6
aspect,名詞,Analyze(L132); Interview(L304); Calibrate(L324); Continued Learning(L577),6
transcript,名詞,Analyze(L132); Interview(L207); Calibrate(L322),6
engage,動詞,Analyze(L143); Interview(L304); Calibrate(L447); Distribute(L513); Continued Learning(L642),6
reach,動詞,Analyze(L167); Interview(L235); Calibrate(L360); Continued Learning(L599),6
notice,名詞,Analyze(L169); Interview(L207); Calibrate(L336); Continued Learning(L585),6
contribute,動詞,Interview(L219); Calibrate(L416); Distribute(L524); Continued Learning(L647),6
recording,名詞,Interview(L244); Calibrate(L497),6
critical,形容詞,Home(L11); Interview(L200); Continued Learning(L577),5
continue,動詞,Home(L11); Distribute(L524); Closing Thoughts(L535),5
productive,形容詞,Home(L11); Interview(L198); Calibrate(L406),5
distribute,動詞,Home(L24); Interview(L269); Distribute(L502),5
tool,名詞,Home(L37); Interview(L196); Continued Learning(L565),5
progress,動詞,Home(L37); Analyze(L110); Interview(L252); Distribute(L527),5
brief,形容詞,Home(L45); Interview(L270); Calibrate(L364); Continued Learning(L565),5
term,名詞,Home(L46); Assign(L91),5
piece,名詞,Home(L46); Analyze(L154); Calibrate(L322),5
together,副詞,Home(L55); Analyze(L158); Calibrate(L408),5
final,形容詞,Home(L55); Calibrate(L316),5
facilitated,形容詞,Home(L59); Calibrate(L316),5
facilitate,動詞,Assign(L76); Calibrate(L336); Continued Learning(L595),5
drive,動詞,Assign(L78); Analyze(L187); Interview(L224); Continued Learning(L632),5
situation,名詞,Assign(L93); Analyze(L143); Interview(L276),5
prompt,動詞,Assign(L96); Interview(L215); Calibrate(L343),5
on-call,複合語,Assign(L100); Analyze(L114); Interview(L296),5
communication,名詞,Assign(L102); Analyze(L161); Interview(L198); Continued Learning(L602),5
general,形容詞,Assign(L102); Analyze(L110); Interview(L219),5
capture,動詞,Assign(L102); Interview(L250); Calibrate(L311),5
inform,動詞,Analyze(L110); Interview(L203); Distribute(L513),5
progression,名詞,Analyze(L110); Calibrate(L459),5
emerge,動詞,Analyze(L110); Interview(L304); Calibrate(L318),5
orient,動詞,Analyze(L114),5
depend,動詞,Analyze(L134); Interview(L205); Continued Learning(L562),5
update,名詞,Analyze(L134); Interview(L207); Calibrate(L424),5
comprehensive,形容詞,Analyze(L137); Interview(L207); Calibrate(L378); Continued Learning(L543),5
face,動詞,Analyze(L151); Interview(L219); Calibrate(L324); Continued Learning(L611),5
coordination,名詞,Analyze(L159); Interview(L219); Calibrate(L459),5
else,副詞,Analyze(L180); Interview(L246); Calibrate(L336),5
wish,動詞,Interview(L229); Calibrate(L418),5
minute,名詞,Interview(L232); Calibrate(L420),5
adjust,動詞,Interview(L248); Distribute(L511); Continued Learning(L561),5
strong,形容詞,Interview(L304); Continued Learning(L572),5
produce,動詞,Calibrate(L341); Distribute(L513); Continued Learning(L632),5
discuss,動詞,Calibrate(L346); Continued Learning(L546),5
describe,動詞,Calibrate(L360); Continued Learning(L549),5
circulate,動詞,Calibrate(L362),5
overview,名詞,Calibrate(L420),5
postmortem,名詞,Calibrate(L488); Continued Learning(L636),5
program,名詞,Home(L8); Continued Learning(L562),4
resilience,固有名詞,Home(L15); Interview(L211); Continued Learning(L551),4
human,固有名詞,Home(L15); Continued Learning(L545),4
extract,動詞,Home(L15); Assign(L65); Interview(L276); Calibrate(L486),4
quality,名詞,Home(L22); Interview(L271); Calibrate(L463); Continued Learning(L614),4
walk,動詞,Home(L24); Analyze(L143); Calibrate(L336),4
accept,動詞,Home(L24); Assign(L87); Continued Learning(L590),4
research,名詞,Home(L26); Distribute(L522); Continued Learning(L634),4
constraint,名詞,Home(L29); Interview(L219); Calibrate(L406),4
toolbox,名詞,Home(L35); Continued Learning(L567),4
gain,動詞,Home(L37); Interview(L219); Calibrate(L424); Closing Thoughts(L533),4
structure,名詞,Home(L41); Analyze(L164); Calibrate(L392),4
language,名詞,Home(L45),4
speak,動詞,Home(L46); Analyze(L110); Calibrate(L360); Continued Learning(L642),4
culture,名詞,Home(L46); Interview(L198); Distribute(L522); Continued Learning(L572),4
reflect,動詞,Home(L46); Interview(L304); Calibrate(L343),4
expect,動詞,Home(L46); Interview(L211); Calibrate(L444); Continued Learning(L642),4
recognize,動詞,Home(L49); Calibrate(L406); Continued Learning(L611),4
blame,動詞,Home(L49); Interview(L210); Calibrate(L406),4
past,名詞,Home(L49); Analyze(L164); Calibrate(L406); Distribute(L513),4
gather,動詞,Home(L53); Analyze(L138); Calibrate(L486),4
uncover,動詞,Home(L59); Distribute(L508),4
attention,名詞,Assign(L78); Analyze(L152); Continued Learning(L616),4
issue,名詞,Assign(L81); Analyze(L169); Calibrate(L336),4
surface,名詞,Assign(L81); Interview(L198); Calibrate(L327),4
