英語名,日本語訳,品詞,対象分類,関連語,独自辞書,場所,出現数
incident,インシデント / 障害事象,名詞,イベント,investigation / response / post-incident,○,Home(L6); Assign(L65); Analyze(L109); Interview(L195); Calibrate(L311); Distribute(L508); Closing Thoughts(L531); Continued Learning(L549),181
investigation,調査 / インシデント調査,名詞,プロセス,investigator / investigate / finding,○,Home(L2); Assign(L64); Analyze(L110); Interview(L203); Calibrate(L313); Distribute(L508); Continued Learning(L548),82
meeting,ミーティング / 会議,名詞,会議,facilitator / participant / agenda,×,Home(L55); Analyze(L132); Calibrate(L311); Distribute(L508); Continued Learning(L572),79
review,レビュー / 振り返り / 見直し,名詞,会議,post-incident / meeting / finding,×,Home(L24); Assign(L76); Analyze(L120); Interview(L198); Calibrate(L316); Distribute(L506); Continued Learning(L560),67
event,イベント / 事象 / 出来事,名詞,イベント,incident / timeline / sequence,×,Home(L11); Assign(L65); Analyze(L110); Interview(L198); Calibrate(L316); Distribute(L513); Continued Learning(L594),63
interview,インタビュー / 聞き取り調査,名詞,会議,interviewee / facilitator / question,○,Home(L24); Assign(L96); Analyze(L118); Interview(L192); Calibrate(L311); Continued Learning(L593),60
participant,参加者 / 関係者,名詞,人物,facilitator / interviewee / meeting,×,Home(L39); Assign(L77); Analyze(L110); Interview(L195); Calibrate(L311); Continued Learning(L594),53
analysis,分析 / 解析,名詞,プロセス,analyze / finding / data,×,Home(L24); Assign(L69); Analyze(L110); Interview(L207); Calibrate(L310); Distribute(L520); Closing Thoughts(L531); Continued Learning(L562),51
document,ドキュメント / 文書,名詞,ドキュメント,report / transcript / artifact,×,Home(L24); Assign(L100); Analyze(L120); Interview(L304); Calibrate(L311); Distribute(L513); Continued Learning(L572),47
process,プロセス / 手順 / 工程,名詞,プロセス,workflow / approach / method,×,Home(L6); Assign(L65); Analyze(L132); Interview(L269); Calibrate(L322); Distribute(L513); Continued Learning(L540),43
data,データ / 情報,名詞,データ,information / analysis / timeline,×,Home(L24); Assign(L99); Analyze(L109); Interview(L196); Calibrate(L311); Distribute(L511),41
learn,学ぶ / 学習する,動詞,,learning / insight / knowledge,×,Home(L10); Assign(L76); Analyze(L143); Interview(L207); Calibrate(L341); Distribute(L508); Continued Learning(L577),38
investigator,調査者 / 調査担当者,名詞,人物,investigation / interview / facilitator,○,Home(L29); Assign(L69); Analyze(L112); Interview(L219); Calibrate(L316); Continued Learning(L540),38
question,質問 / 問い,名詞,主題,interview / answer / clarification,×,Assign(L81); Analyze(L116); Interview(L224); Calibrate(L320); Continued Learning(L577),37
report,レポート / 報告書,名詞,ドキュメント,distribute / finding / summary,×,Home(L24); Analyze(L112); Calibrate(L311); Distribute(L508); Continued Learning(L649),35
organization,組織 / 企業,名詞,組織,management / culture,×,Home(L11); Assign(L65); Analyze(L134); Interview(L203); Calibrate(L339); Distribute(L508); Continued Learning(L561),34
action,アクション / 対応 / 行動,名詞,行動,decision / improvement / response,×,Home(L24); Analyze(L134); Interview(L212); Calibrate(L396); Distribute(L506); Continued Learning(L597),30
learning,学習 / 学び,名詞,概念,insight / knowledge / improvement,×,Home(L24); Assign(L65); Analyze(L143); Interview(L257); Calibrate(L320); Distribute(L506); Continued Learning(L538),25
information,情報,名詞,データ,data / source / knowledge,×,Assign(L81); Analyze(L130); Interview(L205); Calibrate(L318); Distribute(L524); Closing Thoughts(L535),25
share,共有する / 共有,動詞,,distribute / report / finding,×,Home(L55); Assign(L102); Analyze(L161); Interview(L266); Calibrate(L311); Distribute(L506); Continued Learning(L569),23
timeline,タイムライン / 時系列,名詞,データ,event / incident / visualization,○,Analyze(L115); Calibrate(L332),23
knowledge,知識,名詞,概念,tacit / learning / expertise,×,Home(L53); Assign(L75); Analyze(L110); Interview(L198); Calibrate(L360); Distribute(L508),22
interviewee,インタビュー対象者 / 聴取対象者,名詞,人物,interview / interviewer / facilitator,○,Home(L55); Assign(L77); Analyze(L118); Interview(L205); Calibrate(L311); Continued Learning(L591),22
theme,テーマ / 主題,名詞,主題,finding / insight / pattern,○,Analyze(L116); Interview(L304); Calibrate(L316); Continued Learning(L647),21
insight,洞察 / 気づき,名詞,データ,finding / analysis / theme,×,Home(L20); Analyze(L138); Interview(L203); Calibrate(L386); Distribute(L511); Continued Learning(L569),20
system,システム,名詞,システム,service / software / process,×,Home(L15); Assign(L75); Analyze(L134); Interview(L198); Calibrate(L339); Continued Learning(L556),19
finding,発見 / 所見 / 調査結果,名詞,ドキュメント,analysis / report / insight,○,Home(L24); Assign(L69); Interview(L203); Calibrate(L311); Distribute(L505); Continued Learning(L569),18
calibration,キャリブレーション / 認識合わせ,名詞,会議,meeting / facilitator / review,○,Home(L24); Analyze(L120); Calibrate(L311); Continued Learning(L572),16
discussion,議論 / 討論 / ディスカッション,名詞,会議,meeting / participant / facilitate,×,Analyze(L121); Interview(L237); Calibrate(L384); Continued Learning(L624),16
follow-up,フォローアップ / 追跡調査,複合語,行動,action / recommendation / post-incident,○,Home(L61); Analyze(L140); Interview(L224); Calibrate(L456),15
post-incident,ポストインシデント / インシデント後の,複合語,,incident / review / investigation,○,Home(L2); Assign(L76); Analyze(L126); Calibrate(L448); Distribute(L527); Continued Learning(L572),14
conduct,実施する / 遂行する,動詞,,interview / investigation / meeting,×,Home(L6); Analyze(L112); Interview(L200),14
generate,生成する / 生み出す,動詞,,insight / finding / learning,×,Home(L22); Analyze(L191); Calibrate(L364); Continued Learning(L634),14
experience,経験 / 体験,名詞,概念,knowledge / expertise / perspective,×,Home(L53); Assign(L90); Interview(L250); Calibrate(L332); Distribute(L524),13
perspective,視点 / 観点,名詞,概念,insight / view / knowledge,×,Assign(L81); Interview(L207); Calibrate(L367); Continued Learning(L644),12
narrative,ナラティブ / 物語形式の記述,名詞,ドキュメント,timeline / event / recount,○,Analyze(L115); Calibrate(L336),12
hypothesis,仮説,名詞,概念,analysis / disprove / evidence,○,Analyze(L134); Interview(L207); Calibrate(L336),12
context,文脈 / 背景 / コンテキスト,名詞,状態,background / situation / history,×,Home(L22); Analyze(L112); Interview(L207); Calibrate(L391); Continued Learning(L562),11
introduce,導入する / 紹介する,動詞,,facilitator / meeting / participant,×,Home(L46); Interview(L237); Continued Learning(L562),11
recommend,推奨する / 勧める,動詞,,action / improvement / finding,×,Assign(L83); Analyze(L134); Interview(L232); Calibrate(L404); Continued Learning(L638),11
impact,影響 / インパクト,名詞,属性,severity / incident / outcome,×,Assign(L93); Analyze(L134); Interview(L207); Calibrate(L336); Continued Learning(L577),11
approach,アプローチ / 方法 / 取り組み,名詞,プロセス,method / process / technique,×,Analyze(L112); Interview(L234); Calibrate(L461); Closing Thoughts(L531); Continued Learning(L579),11
feedback,フィードバック,名詞,データ,calibration / suggestion / review,×,Interview(L269); Calibrate(L316),11
explain,説明する,動詞,,context / narrative / communicate,×,Home(L17); Interview(L265); Calibrate(L360),10
folk,人々 / 関係者,名詞,人物,participant / others,×,Home(L46); Calibrate(L341); Distribute(L508); Continued Learning(L579),10
responder,レスポンダー / 対応者,名詞,人物,incident / response / on-call,○,Analyze(L147); Interview(L196); Calibrate(L410); Continued Learning(L644),10
view,視点 / 見解 / 閲覧する,名詞,概念,perspective / insight / understanding,×,Analyze(L164); Interview(L284); Calibrate(L332); Continued Learning(L545),10
invite,招待する / 呼びかける,動詞,,participant / meeting / assign,×,Interview(L237); Calibrate(L353); Continued Learning(L647),10
engineer,エンジニア,名詞,人物,responder / participant / on-call,×,Home(L15); Analyze(L189); Interview(L228); Calibrate(L372); Continued Learning(L608),9
goal,目標 / 目的,名詞,主題,objective / purpose / outcome,×,Home(L15); Analyze(L137); Calibrate(L461); Continued Learning(L562),9
surprise,驚き / 予期しない事態,名詞,主題,finding / insight / incident,×,Home(L15); Interview(L297); Calibrate(L311); Continued Learning(L621),9
individual,個人 / 個々の,形容詞,,participant / stakeholder,×,Home(L22); Assign(L100); Analyze(L185); Calibrate(L336); Continued Learning(L565),9
meet,満たす / 応じる,動詞,,meeting / participant / facilitator,×,Home(L24); Assign(L85); Analyze(L189); Calibrate(L350); Continued Learning(L642),9
every,それぞれ / 毎,冠詞,,,×,Home(L28); Assign(L69); Continued Learning(L604),9
believe,信じる / 考える,動詞,,,×,Home(L30); Interview(L198); Calibrate(L466); Closing Thoughts(L531),9
collect,収集する / 集める,動詞,,data / information / evidence,×,Assign(L100); Analyze(L119); Interview(L200); Calibrate(L322),9
channel,チャンネル / 通信経路,名詞,システム,communication / message / chat,×,Assign(L102); Interview(L244),9
detail,詳細 / 詳細情報,名詞,データ,information / narrative / context,×,Analyze(L110); Interview(L198); Calibrate(L347),9
answer,回答 / 答え,名詞,主題,question / interview / clarification,×,Analyze(L116); Interview(L250); Calibrate(L384); Continued Learning(L606),9
talk,話す / 話し合う,動詞,,interview / communicate / discussion,×,Analyze(L187); Interview(L198); Calibrate(L399); Continued Learning(L552),9
engineering,エンジニアリング / 工学,名詞,概念,system / software / practice,×,Home(L15); Assign(L105); Interview(L196); Calibrate(L463); Distribute(L508); Continued Learning(L551),8
expertise,専門知識 / 専門性,名詞,概念,knowledge / skill / expert,×,Home(L15); Interview(L211); Calibrate(L360); Continued Learning(L608),8
improvement,改善 / 向上,名詞,行動,action / recommendation / process,×,Home(L20); Analyze(L159); Calibrate(L364); Distribute(L527); Continued Learning(L572),8
mean,意味する / 平均,動詞,,,×,Home(L22); Analyze(L160); Interview(L290); Calibrate(L369),8
skill,スキル / 技術,名詞,概念,expertise / knowledge / training,×,Home(L24); Analyze(L138); Interview(L248); Continued Learning(L540),8
assign,割り当てる / アサインする,動詞,,investigator / facilitator,×,Home(L24); Assign(L62); Calibrate(L459); Continued Learning(L589),8
investigate,調査する,動詞,,investigation / investigator / analysis,○,Home(L30); Assign(L83); Analyze(L112); Interview(L200); Calibrate(L446); Continued Learning(L627),8
response,対応 / レスポンス,名詞,行動,incident / responder / action,×,Assign(L75); Interview(L196); Calibrate(L473),8
source,情報源 / 原因,名詞,データ,data / evidence / information,×,Assign(L100); Analyze(L153); Interview(L211); Calibrate(L486); Continued Learning(L592),8
chat,チャット,名詞,システム,message / communication / channel,×,Assign(L100); Interview(L207); Calibrate(L322); Continued Learning(L599),8
message,メッセージ,名詞,データ,communication / chat / channel,×,Assign(L102); Analyze(L140); Interview(L196),8
schedule,スケジュール / 予定,動詞,,meeting / interview / calendar,×,Analyze(L114); Interview(L222); Calibrate(L367); Distribute(L508),8
improve,改善する / 向上させる,動詞,,improvement / process / learning,×,Analyze(L138); Calibrate(L447); Continued Learning(L562),8
practice,実践 / プラクティス / 慣行,名詞,概念,process / approach / standard,×,Analyze(L159); Calibrate(L459); Continued Learning(L571),8
record,記録する / 録音する,動詞,,transcript / recording / document,×,Interview(L250); Calibrate(L404),8
expert,専門家 / エキスパート,名詞,人物,expertise / knowledge / facilitator,×,Home(L6); Analyze(L176); Calibrate(L336); Continued Learning(L646),7
service,サービス,名詞,システム,system / software / incident,×,Home(L11); Interview(L228); Calibrate(L322); Continued Learning(L619),7
software,ソフトウェア,名詞,システム,system / service / engineer,×,Home(L15); Analyze(L154); Interview(L196); Calibrate(L339); Continued Learning(L608),7
opportunity,機会 / チャンス,名詞,概念,learning / improvement,×,Home(L15); Analyze(L159); Interview(L237); Calibrate(L351); Distribute(L508); Continued Learning(L647),7
performance,パフォーマンス / 性能 / 職務遂行,名詞,概念,system / metric / improvement,×,Home(L17); Analyze(L191); Continued Learning(L546),7
prepare,準備する,動詞,,interview / facilitator / meeting,×,Home(L24); Analyze(L112); Interview(L243); Calibrate(L355),7
integrate,統合する,動詞,,process / workflow / system,×,Home(L24); Interview(L219); Calibrate(L358); Distribute(L508),7
represent,表す / 表現する,動詞,,visualization / data / narrative,×,Home(L26); Interview(L210); Calibrate(L332); Distribute(L524),7
encourage,促す / 奨励する,動詞,,participant / facilitator / learning,×,Home(L37); Interview(L253); Calibrate(L428); Continued Learning(L577),7
others,他の人々 / その他,名詞,人物,participant / colleague,×,Home(L41); Analyze(L154); Calibrate(L327); Distribute(L524),7
future,将来の / 今後の,形容詞,,,×,Home(L46); Calibrate(L447); Distribute(L513),7
facilitator,ファシリテーター,名詞,人物,interview / meeting / interviewee,○,Assign(L83); Calibrate(L380); Continued Learning(L543),7
relevant,関連した / 適切な,形容詞,,,×,Assign(L100); Interview(L205); Calibrate(L483),7
analyze,分析する,動詞,,analysis / data / finding,○,Analyze(L107); Interview(L244); Continued Learning(L608),7
consolidate,統合する / まとめる,動詞,,finding / analysis / theme,×,Analyze(L120); Interview(L196); Calibrate(L311),7
useful,有用な / 役立つ,形容詞,,,×,Analyze(L130); Interview(L241); Calibrate(L459),7
tagging,タグ付け,名詞,プロセス,theme / analysis / pattern,○,Analyze(L132),7
reader,読者 / 参加者,名詞,人物,participant / report / document,×,Analyze(L143); Calibrate(L447); Distribute(L527); Continued Learning(L577),7
problem,問題 / 課題,名詞,主題,issue / challenge / incident,×,Analyze(L151); Interview(L207); Calibrate(L408); Continued Learning(L632),7
decision,意思決定 / 決断,名詞,行動,action / response / outcome,×,Interview(L200); Distribute(L522); Continued Learning(L585),7
broad,広い / 幅広い,形容詞,,,×,Interview(L207); Calibrate(L483),7
ready,準備できている / 用意する,形容詞,,,×,Interview(L224); Calibrate(L380); Continued Learning(L579),7
scribe,記録係 / 書記,名詞,人物,meeting / facilitator / transcript,○,Interview(L252),7
material,資料 / 素材,名詞,ドキュメント,document / preparation,×,Interview(L260); Calibrate(L358); Closing Thoughts(L535),7
valuable,価値のある / 貴重な,形容詞,,,×,Calibrate(L483); Continued Learning(L608),7
collaboration,コラボレーション / 協働,名詞,概念,communication / process,×,Home(L2); Analyze(L164); Calibrate(L329); Continued Learning(L572),6
factor,要因 / 要素,名詞,属性,root-cause / analysis,×,Home(L15); Analyze(L134); Interview(L205); Calibrate(L466),6
value,価値,名詞,概念,learning / insight,×,Home(L15); Distribute(L524); Closing Thoughts(L533); Continued Learning(L614),6
error,エラー / 誤り,名詞,イベント,failure / incident / outage,×,Home(L20); Continued Learning(L545),6
interest,関心 / 興味,名詞,概念,,×,Home(L33); Analyze(L132); Interview(L219); Calibrate(L327); Continued Learning(L627),6
prior,事前の / 先の,形容詞,,,×,Home(L55); Assign(L91); Calibrate(L389); Continued Learning(L646),6
component,コンポーネント / 構成要素,名詞,属性,system / factor / process,×,Assign(L75); Interview(L214); Calibrate(L452); Continued Learning(L587),6
interviewing,インタビュー / 聞き取り,名詞,プロセス,interview / facilitator / question,○,Assign(L76); Interview(L219); Calibrate(L322); Continued Learning(L569),6
technical,技術的な / テクニカルな,形容詞,,,×,Assign(L81); Interview(L198); Calibrate(L324),6
handle,対処する / 処理する,動詞,,issue / response / process,×,Assign(L90); Analyze(L132); Calibrate(L466); Continued Learning(L583),6
conversation,会話 / 対話,名詞,会議,interview / communication,×,Assign(L91); Interview(L196); Calibrate(L412),6
organizational,組織的な / 組織の,形容詞,,organization / culture,×,Assign(L100); Interview(L219); Calibrate(L479); Continued Learning(L577),6
track,追跡する / 記録する,動詞,,timeline / data / record,×,Assign(L102); Analyze(L112); Calibrate(L414); Distribute(L527),6
support,サポートする / 支援する,動詞,,facilitator / participant,×,Analyze(L120); Calibrate(L483); Continued Learning(L577),6
suggest,提案する / 示唆する,動詞,,recommendation / finding,×,Analyze(L132); Calibrate(L388); Continued Learning(L634),6
aspect,側面 / 観点,名詞,属性,factor,×,Analyze(L132); Interview(L304); Calibrate(L324); Continued Learning(L577),6
transcript,トランスクリプト / 会話記録,名詞,ドキュメント,interview / recording,○,Analyze(L132); Interview(L207); Calibrate(L322),6
engage,関与する / 取り組む,動詞,,participant / facilitator,×,Analyze(L143); Interview(L304); Calibrate(L447); Distribute(L513); Continued Learning(L642),6
reach,連絡する / 到達する,動詞,,participant / communicate,×,Analyze(L167); Interview(L235); Calibrate(L360); Continued Learning(L599),6
notice,気づく / 気づき,名詞,主題,finding / insight,×,Analyze(L169); Interview(L207); Calibrate(L336); Continued Learning(L585),6
contribute,貢献する / 寄与する,動詞,,factor / learning,×,Interview(L219); Calibrate(L416); Distribute(L524); Continued Learning(L647),6
recording,録音 / 記録,名詞,ドキュメント,transcript / interview,○,Interview(L244); Calibrate(L497),6
critical,重大な / 批判的な,形容詞,,,×,Home(L11); Interview(L200); Continued Learning(L577),5
continue,続ける / 継続する,動詞,,,×,Home(L11); Distribute(L524); Closing Thoughts(L535),5
productive,生産的な,形容詞,,meeting,×,Home(L11); Interview(L198); Calibrate(L406),5
distribute,配布する / 共有する,動詞,,report / document / share,×,Home(L24); Interview(L269); Distribute(L502),5
tool,ツール / 手段,名詞,システム,process / approach,×,Home(L37); Interview(L196); Continued Learning(L565),5
progress,進捗 / 進む,名詞,状態,process,×,Home(L37); Analyze(L110); Interview(L252); Distribute(L527),5
brief,簡潔な / 概要,形容詞,,,×,Home(L45); Interview(L270); Calibrate(L364); Continued Learning(L565),5
term,用語 / 期間,名詞,主題,,×,Home(L46); Assign(L91),5
piece,一部 / 要素,名詞,属性,,×,Home(L46); Analyze(L154); Calibrate(L322),5
together,一緒に / 共同で,副詞,,,×,Home(L55); Analyze(L158); Calibrate(L408),5
final,最終的な,形容詞,,,×,Home(L55); Calibrate(L316),5
facilitated,ファシリテートされた,形容詞,,facilitate / facilitator / review,×,Home(L59); Calibrate(L316),5
facilitate,促進する / ファシリテートする,動詞,,facilitator / meeting / discussion,×,Assign(L76); Calibrate(L336); Continued Learning(L595),5
drive,推進する / 動かす,動詞,,process / improvement,×,Assign(L78); Analyze(L187); Interview(L224); Continued Learning(L632),5
situation,状況 / 状態,名詞,状態,context / background,×,Assign(L93); Analyze(L143); Interview(L276),5
prompt,促す / 引き出す,動詞,,question / interview / facilitate,×,Assign(L96); Interview(L215); Calibrate(L343),5
on-call,オンコール,複合語,役割,responder / incident / engineer,○,Assign(L100); Analyze(L114); Interview(L296),5
communication,コミュニケーション / 情報共有,名詞,概念,channel / share,×,Assign(L102); Analyze(L161); Interview(L198); Continued Learning(L602),5
general,一般的な / 全般的な,形容詞,,,×,Assign(L102); Analyze(L110); Interview(L219),5
capture,記録する / 捉える,動詞,,data / transcript / record,×,Assign(L102); Interview(L250); Calibrate(L311),5
inform,知らせる / 伝える,動詞,,communicate / share,×,Analyze(L110); Interview(L203); Distribute(L513),5
progression,進行 / 推移,名詞,状態,timeline / event,×,Analyze(L110); Calibrate(L459),5
emerge,浮かび上がる / 明らかになる,動詞,,finding / theme,×,Analyze(L110); Interview(L304); Calibrate(L318),5
orient,把握する / 方向づける,動詞,,context / interview,×,Analyze(L114),5
depend,依存する,動詞,,factor,×,Analyze(L134); Interview(L205); Continued Learning(L562),5
update,更新 / 状況報告,名詞,行動,report / communication,×,Analyze(L134); Interview(L207); Calibrate(L424),5
comprehensive,包括的な / 網羅的な,形容詞,,,×,Analyze(L137); Interview(L207); Calibrate(L378); Continued Learning(L543),5
face,直面する,動詞,,challenge / situation,×,Analyze(L151); Interview(L219); Calibrate(L324); Continued Learning(L611),5
coordination,調整 / コーディネーション,名詞,概念,communication / process,×,Analyze(L159); Interview(L219); Calibrate(L459),5
else,それ以外に,副詞,,,×,Analyze(L180); Interview(L246); Calibrate(L336),5
wish,望む,動詞,,,×,Interview(L229); Calibrate(L418),5
minute,（会議の）議事録 / 分,名詞,ドキュメント,meeting / record,×,Interview(L232); Calibrate(L420),5
adjust,調整する / 適応させる,動詞,,process,×,Interview(L248); Distribute(L511); Continued Learning(L561),5
strong,強い / 充実した,形容詞,,,×,Interview(L304); Continued Learning(L572),5
produce,生み出す / 作成する,動詞,,document / report,×,Calibrate(L341); Distribute(L513); Continued Learning(L632),5
discuss,議論する / 話し合う,動詞,,meeting / discussion,×,Calibrate(L346); Continued Learning(L546),5
describe,記述する / 説明する,動詞,,narrative / context,×,Calibrate(L360); Continued Learning(L549),5
circulate,回覧する / 配布する,動詞,,document / report / share,×,Calibrate(L362),5
overview,概要 / 全体像,名詞,ドキュメント,summary / report,×,Calibrate(L420),5
postmortem,ポストモーテム / 事後検討,名詞,会議,post-mortem / review,○,Calibrate(L488); Continued Learning(L636),5
program,プログラム / 制度,名詞,プロセス,process,×,Home(L8); Continued Learning(L562),4
resilience,レジリエンス / 回復力,名詞,概念,safety / learning,○,Home(L15); Interview(L211); Continued Learning(L551),4
human,人間の / ヒューマン,形容詞,,,×,Home(L15); Continued Learning(L545),4
extract,抽出する,動詞,,data / information,×,Home(L15); Assign(L65); Interview(L276); Calibrate(L486),4
quality,品質 / 質,名詞,属性,performance,×,Home(L22); Interview(L271); Calibrate(L463); Continued Learning(L614),4
walk,（説明を）ウォークスルーする,動詞,,timeline / narrative,×,Home(L24); Analyze(L143); Calibrate(L336),4
accept,受け入れる / 引き受ける,動詞,,,×,Home(L24); Assign(L87); Continued Learning(L590),4
research,調査 / 研究,名詞,プロセス,analysis,×,Home(L26); Distribute(L522); Continued Learning(L634),4
constraint,制約 / 制限,名詞,属性,factor / situation,×,Home(L29); Interview(L219); Calibrate(L406),4
toolbox,ツールボックス / 道具箱,名詞,システム,tool / resource,○,Home(L35); Continued Learning(L567),4
gain,得る / 獲得する,動詞,,learning / insight,×,Home(L37); Interview(L219); Calibrate(L424); Closing Thoughts(L533),4
structure,構造 / 体制,名詞,属性,process,×,Home(L41); Analyze(L164); Calibrate(L392),4
language,言語 / 表現,名詞,概念,communication,×,Home(L45),4
speak,話す,動詞,,interview / communicate,×,Home(L46); Analyze(L110); Calibrate(L360); Continued Learning(L642),4
culture,文化 / 組織文化,名詞,概念,organization / blameless / blame-aware,○,Home(L46); Interview(L198); Distribute(L522); Continued Learning(L572),4
reflect,反映する / 振り返る,動詞,,learning / review,×,Home(L46); Interview(L304); Calibrate(L343),4
expect,期待する / 予期する,動詞,,,×,Home(L46); Interview(L211); Calibrate(L444); Continued Learning(L642),4
recognize,認識する / 認める,動詞,,acknowledge,×,Home(L49); Calibrate(L406); Continued Learning(L611),4
blame,非難する / 責任を問う,動詞,,blameless / blame-aware / culture,○,Home(L49); Interview(L210); Calibrate(L406),4
past,過去 / 以前,名詞,時間,history,×,Home(L49); Analyze(L164); Calibrate(L406); Distribute(L513),4
gather,収集する / 集める,動詞,,data / information / evidence,×,Home(L53); Analyze(L138); Calibrate(L486),4
uncover,明らかにする / 発見する,動詞,,finding / insight / evidence,×,Home(L59); Distribute(L508),4
attention,注意 / 集中,名詞,概念,,×,Assign(L78); Analyze(L152); Continued Learning(L616),4
issue,問題 / 課題,名詞,主題,problem / challenge / concern,×,Assign(L81); Analyze(L169); Calibrate(L336),4
surface,表面化する / 浮かび上がらせる,動詞,,finding / theme / insight,×,Assign(L81); Interview(L198); Calibrate(L327),4
party,当事者 / 関係者,名詞,人物,stakeholder,×,Assign(L83); Analyze(L159); Calibrate(L383),4
remind,思い出させる / 念押しする,動詞,,facilitator / participant,×,Assign(L85); Calibrate(L380); Continued Learning(L638),4
colleague,同僚,名詞,人物,participant,×,Assign(L90); Interview(L241); Calibrate(L488),4
finish,完了する / 終了する,動詞,,meeting / process,×,Assign(L95); Interview(L232); Calibrate(L495); Distribute(L524),4
transcripts,（会話）記録 / 議事録,名詞,ドキュメント,transcript / recording / interview,×,Assign(L100); Analyze(L114); Interview(L244),4
background,背景 / 経歴,名詞,属性,context / history,×,Assign(L100); Calibrate(L424),4
ticket,チケット / タスク管理票,名詞,ドキュメント,jira,×,Assign(L100); Interview(L215); Calibrate(L420),4
player,関係者 / プレイヤー,名詞,人物,participant / stakeholder,×,Assign(L102); Interview(L207),4
